mal_id,name,birthday,favorites,about,main_picture
270,Nobuhiko Okamoto,1986-10-24 00:00:00+00:00,43349,"Hometown: Tokyo, Japan
Height: 168 cm
Blood type: B

Award:
Best New Actor Award (2008)
Best Supporting Actor Award (2011)

It was announced on October 24, 2011 that he's the 6th member of Kiramune, debut on May 23, 2012.
- Palette (1st Mini Album out May 23, 2012)
- Enjoy☆Full (2nd Mini Album out June 5, 2013)
- 瞬間BEAT (Shunkan BEAT)(1st Sinlgle out March 5, 2014)
- Parading (3nd Mini Album out August 13, 2014)
- Questory (4th Mini Album out November 25, 2015)
- 君の笑顔 僕の笑顔 (Boku no Egao Kimi no Egao) (2nd Single out July 6, 2016)
- 8piece (1st Album out January 21, 2017)
- サクラメント (Sacrament) (3rd Single out August 9, 2017) 
- Melty Halloween (4th Single out October 25, 2017)
- Braver (5th Mini-Album ou October 24, 2018)

Also hosting with fellow seiyuu Ryouhei Kimura for Dengeki Girl's Smile.

He is skilled at playing shogi, having the Shogi Certification in 3rd Class. Due to this, he has appeared in Shogi shows from niconico, as well as being a commentary in Shogi events (e.g. Denousen).

Talent profile: Profit

Instagram: @nobuhiko_cacao
LINE BLOG: nobuhiko_okamoto",https://cdn.myanimelist.net/images/voiceactors/2/48785.jpg
8,Rie Kugimiya,1979-05-30 00:00:00+00:00,39863,"Height: 159 cm
Blood type: B
Hometown: Kumamoto, Japan
Favorites: fairy tales, pool, strawberries, light blue
Hobbies: reading
Skills/Abilities: baton
Nickname: Kugyu (くぎゅ)

Profile: imenterprise.jp
Twitter: @rie_k_0530",https://cdn.myanimelist.net/images/voiceactors/3/63374.jpg
2619,Hirohiko Araki,1960-06-07 00:00:00+00:00,38524,"Birth place: Sendai, Miyagi Prefecture, Japan
Height: 169.5 cm
Weight: 61 kg
Blood type: B

Hirohiko Araki left school before graduation from Miyagi University of Education.

On November 30, 2016, Araki won the 45th Annual Best Dresser Awards in Tokyo in the ""Academic and Cultural Arts"" division. When questioned about his youthful appearance, Araki said that he washes his face every morning with Tokyo's tap water.

He received the 20th Tezuka Award for his debut work. 

Twitter: @araki_jojo",https://cdn.myanimelist.net/images/voiceactors/3/42598.jpg
99,Miyuki Sawashiro,1985-06-02 00:00:00+00:00,38407,"Hometown: Tokyo, Japan
Blood type: O
Hobbies: piano
Nicknames: みゆきち (Miyukichi), シロロン (Shiroron)
Debut role: Puchi Charat (Di Gi Charat)

She began her voice-acting career in 1999 and has continued her work as a seiyuu for more than a decade.

She is the older sister of seiyuu Chiharu Sawashiro.

Married on June 2, 2014, her 29th birthday.

Profile: http://www.aoni.co.jp/actress/sa/sawashiro-miyuki.html",https://cdn.myanimelist.net/images/voiceactors/2/65500.jpg
11817,Yoshitsugu Matsuoka,1986-09-17 00:00:00+00:00,38055,"Hometown: Hokkaido, Japan
Height: 165 cm
Blood type: O
Hobbies: cooking, guitar, jogging, singing, snowboarding, taking walks

He won the 10th Seiyuu Awards as Best Actor in a leading role.

As of 6/17/2019, he holds the Guinness World Record for ""the largest number of lines performed by a single voice actor in a mobile game."" The game being: Is It Wrong to Try to Pick Up Girls in a Dungeon?: Memoria Freese.

Talent agency's profile: http://www.imenterprise.jp/profile.php?id=82",https://cdn.myanimelist.net/images/voiceactors/2/40132.jpg
86,Jun Fukuyama,1978-11-26 00:00:00+00:00,34648,"Blood type: A
Birth place: Fukuyama, Osaka Prefecture, Japan
Height: 170 cm
Weight: 53 kg
Skill/ability: Kendo
Nickname: Junjun

Awards:
In 2006, he won the Anican Japan Grand Prize Male Seiyuu Award. He also won the Best Male Voice Actor award in the ""Anime Grand Prix 2006"" and he was also awarded the ""Manga Best Ten 2006"" voice actor award.

In 2007, he won the ""Best Male Seiyuu"" award in the first Seiyuu Awards. In the same year, he won the Anican Japan Grand Prize Male Seiyuu Award for the second time.

In 2008, he won the Anican Japan Grand Prize Male Seiyuu Award for the third time. In the same year, he was awarded in the Animage's ""30th Anime Grand Prix"" voice actor category.

In 2009, he won the Tokyo International Fair 2009 voice actor award. He also won the newly established Overseas Fan's Award in the 3rd Seiyu Awards and he also got an award for the 2nd time in the ""31st Anime Grand Prix.""

(Source: Wikipedia)

Profile: https://www.blackship.jp/
FlyingDog site: http://www.jvcmusic.co.jp/fukuyama/
Pony Canyon site: http://fukuyamajun-music.com/
Twitter (music): @f_junjun_music 
Twitter (main) : @black_fukuyama",https://cdn.myanimelist.net/images/voiceactors/3/60810.jpg
1117,Makoto Shinkai,1973-02-09 00:00:00+00:00,31205,"Hometown: Koumi-cho, Nagano

Twitter: @shinkaimakoto",https://cdn.myanimelist.net/images/voiceactors/1/54688.jpg
160,Takehito Koyasu,1967-05-05 00:00:00+00:00,30873,"Blood type: A
Height: 175 cm
Weight: 60 kg
Bust-Waist-Hip: 83-65-93 cm 

Favorites:
Beverages: milk, brandy
Colors: black, white, blue
Country: Egypt
Animal: Giraffe
Brands of clothing: Fila, Donna Karan, Van, Ships
Date spot: the sea
Music group: L'arc~en~Ciel
TV show: ""trendy"" dramas
Flower: yellow rose
Foods: ebi, tofu, men's pocky
Idol: Mita Hiroko
Season: autumn

Hobbies: snowboarding, video games, writing
Skills &amp; Abilities: baseball, designing signatures, E Rank Driver, jump rope, photography

According to the Anime News Network, as of December 2008, Koyasu is the most prolific seiyuu in Japan with voice acting roles in 365 anime series. He is also part of the seiyuu quartet Weiss consisting of Weiss Kreuz voice castmates Shinichiro Miki, Tomokazu Seki, and Yuuki Hiro. He used to work for Production Baobab but is now the head of T's Factory, a seiyuu company he founded in 1998.

Koyasu is known for his deep, smooth voice, which often lands him in roles that are either villains or lonely bishounen. Recently, though (as in the cases of Mitsurugi Hanagata from Saber Marionette J, Ryo Kuroyanagi from Yakitate!! Japan, Bobobo-Bo-Bobobo, and Kei Itoshiki from Zoku Sayonara Zetsubo Sensei) he has been voicing more and more lively/humorous characters. According to Hisaya Nakajo, the mangaka of the series Hana-Kimi, the character of Masao Himejima was designed with Koyasu's voice in mind; the seiyuu ended up voicing this character in the series' drama CDs.

Koyasu is also the creator of the Weiß series, and has authored the manga Weiß Side B. In creating Weiß Kreuz, Koyasu was inspired by an old Japanese series called Sure Death.

Koyasu often voices under the pseudonym Hayato Jumonji, especially in H anime.

He also narrates promotional videos and pre-flight safety videos for StarFlyer.",https://cdn.myanimelist.net/images/voiceactors/1/63375.jpg
513,Yuuichi Nakamura,1980-02-20 00:00:00+00:00,29207,"Hometown: Kagawa Prefecture, Japan
Height: 175 cm
Weight: 65 kg
Blood type: B

Chuutatsu (仲達) is the alias of Yuuichi Nakamura for visual novel/games.

Trivia:
- His nickname ""You-Kyan"" was named by Suzumura Kenichi
- Loves cats but is afraid of having them die before him, he can't have of his own.
- Non-alcoholic, mostly drinks soft drinks or orange juice during party.

Intention profile: https://intention-k.com/profile/yuichi_nakamura/
E-mail: yulyu_nakamura@yahoo.co.jp
Twitter: @nakamuraFF11",https://cdn.myanimelist.net/images/voiceactors/2/63264.jpg
591,Kenjirou Tsuda,1971-06-11 00:00:00+00:00,28772,"Hometown: Osaka, Japan
Height: 170 cm
Blood Type: O

He works at Stardust Promotion as an actor and ANDSTIR as a voice actor.

Twitter: @tsuda_ken",https://cdn.myanimelist.net/images/voiceactors/2/63379.jpg
6686,Aoi Yuuki,1992-03-27 00:00:00+00:00,27865,"Birthplace: Chiba Prefecture
Height: 145 cm
Blood Type: A
Hobbies: Writing books, drawing
Sports: Skiing, snowboarding
Specialty: Reading aloud, tongue twisters

She won Best Main Female Seiyuu Award in 6th Annual Seiyuu Award.

She has released two mini-albums: Petit Pas (プティパ) on March 28, 2012 and Meriba (メリバ) on February 13, 2013.

Forms duo Petit Milady with Ayana Taketatsu.

Twitter: @staff_aoi
Profile: jvcmusic.co.jp/aoiyuki/

 Previous Talent Agency 
Pro-fit

Current Talent Agency
Aoni Productions Talent Agency

columbia.jp/yukiaoi",https://cdn.myanimelist.net/images/voiceactors/3/67808.jpg
10765,Ai Kayano,1987-09-13 00:00:00+00:00,25143,"Blood type: O
Birth place: Tokyo, Japan
Nickname: Kayanon (かやのん)

Ai Kayano became interested in voice acting while watching foreign films, which are dubbed into Japanese in Japan. While she learned about the seiyuu profession in high school, she was first interested in becoming a beautician. After completing beauty vocational school, Kayano enrolled in the Pro-Fit Voice Actor's School and graduated in 2010, debuting that April as a professional seiyuu.

Kayano took on a number of minor roles before landing her first regular role as Itsuwa in the Toaru Majutsu no Index series. In 2011, she debuted in her first lead role in Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. as Meiko Honma. Kayano's performance in the series resulted in her being named a Newcomer of the Year in the 6th Annual Seiyuu Awards.

Kayano left the Pro-Fit talent agency in September 2014 and joined Office Osawa in January 2015.

As a fan of sake, Kayano hosts a web program titled Kayanomi in which she samples various kinds of sake.

Kayanomi Twitter: @_kayanomi
Profile: osawa-inc.co.jp/women/k...",https://cdn.myanimelist.net/images/voiceactors/3/60503.jpg
79,Takahiro Sakurai,1974-06-13 00:00:00+00:00,24389,"Birth place: Okazaki, Aichi Prefecture, Japan
Height: 176 cm (5'9"")
Weight: 58 kg (128 lbs)
Blood type: A
Pets: a cat named Hiyori
Hobbies: scuba diving, record collecting, shopping, surfing
Favorite food: sushi
Dislikes: spicy food
Favorite place: Starbucks
Places he wants to visit: The Maldives
Nicknames: Sakupyon, Takapiro, Sakku, Saku-chan

Sakurai ended his contract with 81 Produce, and subsequently became a freelancer. He has joined INTENTION (founded by Suzumura Kenichi) since July 20, 2014.

Profile: https://intention-k.com/",https://cdn.myanimelist.net/images/voiceactors/3/62791.jpg
95,Junichi Suwabe,1972-03-29 00:00:00+00:00,24367,"Hometown: Tokyo, Japan
Height: 173 cm
Weight: 60 kg
Blood type: A

In 2012 won Seiyuu award for ""Best Singing"" for ST☆RISH (shared with Takuma Terashima, Kenichi Suzumura, Kishou Taniyama, Mamoru Miyano, Hiro Shimono) in Uta no☆Prince-sama♪ Maji Love 1000%

Won Best Actor in a Supporting Role in the 7th Seiyuu Awards.

Blog: @zenraojisan
Instagram: @j.suwabe
Twitter: @MY_MURMUR",https://cdn.myanimelist.net/images/voiceactors/3/66059.jpg
8509,Hiroyuki Sawano,1980-09-12 00:00:00+00:00,23982,"Birthplace: Tokyo, Japan
Blood type: A

Became famous in 2006 due the soundtrack from live-action drama Iryu: Team Medical Dragon. Besides actively composing soundtracks for movies and dramas, he has also composed for various anime

Twitter: @sawano_nzk",https://cdn.myanimelist.net/images/voiceactors/1/65835.jpg
4580,Satoshi Kon,1963-10-12 00:00:00+00:00,22981,"Died: August 24, 2010 (aged 46)
Birth place: Kushiro, Hokkaido, Japan

Satoshi Kon was a Japanese director of anime films. Kon started his career as a manga artist and editor in Young Magazine, and then made his screenwriting debut with Magnetic Rose, a section of the anthology film Memories. Kon made his directorial debut film, Perfect Blue, in 1997, followed by Millennium Actress, Tokyo Godfathers, Paprika and the television series Paranoia Agent. A fifth film, The Dream Machine, was also in production at the time of his death, but was cancelled afterwards. All of his works as a director had been made by Studio Madhouse, where he was a staff director along with Rintaro and Yoshiaki Kawajiri. He was a founder and part of the 15-member steering committee of the Japan Animation Creators Association (JAniCA) labor group.

Satoshi Kon died of pancreatic cancer shortly before his 47th birthday. Before dying, he left a final statement on his blog.",https://cdn.myanimelist.net/images/voiceactors/3/46672.jpg
10561,LiSA,1987-06-24 00:00:00+00:00,22524,"Blood type: B
Birth place: Seki, Gifu Prefecture, Japan
Birth name: Risa Oribe (織部 里沙)

LiSA is a Japanese singer, who sings as Yui—the vocalist of the fictional group, Girls Dead Monster, in the anime Angel Beats!

Born in Gifu prefecture, LiSA started her own band while in high school to catch a growing wave of punk rock. In 2008, she moved to Tokyo in order to further her musical career.

The name ""LiSA"" stands for: Love is Same All or LiVE is Smile Always

Instagram: @xlisa_olivex
Blog: http://ameblo.jp/lxixsxa/
Facebook: lxixsxa.jp
Twitter: @LiSA_OLiVE
Anison: 29206",https://cdn.myanimelist.net/images/voiceactors/3/66422.jpg
11297,Inori Minase,1995-12-02 00:00:00+00:00,22357,"Blood type: B
Birth place: Tokyo, Japan
Height: 154 cm
Weight: 38 kg
Hobbies: Anime, games, surfing the Internet, Nico Nico Douga
Skills/abilities: Anime song karaoke one-person duet, Tetris

She won the 10th Seiyu Awards as Best Actress in a leading role.

Blog: @inoriminase
Twitter: @inoriminase
Facebook: @InoriMinase
Instagram:
@inoriminase_info",https://cdn.myanimelist.net/images/voiceactors/3/65498.jpg
5111,Hideaki Anno,1960-05-22 00:00:00+00:00,21581,"Blood type: A
Birth place: Ube, Yamaguchi Prefecture, Japan

Co-founder of GAINAX.

In 2006 Anno left GAINAX to form his own studio, Studio Khara.",https://cdn.myanimelist.net/images/voiceactors/2/54280.jpg
1868,Kentarou Miura,1966-07-11 00:00:00+00:00,21439,"Date of Death: May 6, 2021

Kentarou Miura was born in Chiba City, Chiba Prefecture, Japan in 1966. He was left-handed. In 1976, at the early age of 10, Miura made his first manga, titled Miuranger, that was published for his classmates in a school publication; the manga ended up spanning 40 volumes. In 1977, Miura created his second manga titled Ken e No Michi (The Way to the Sword), using Indian ink for the first time. When he was in middle school in 1979, Miura's drawing techniques improved greatly as he started using professional drawing techniques. His first doujinshi was published, with the help of friends, in a magazine in 1982. That same year, Miura enrolled in an artistic curriculum in high school, where he and his classmates started publishing their works in school booklets, as well as having his first doujinshi published in a fan-produced magazine. In 1985, Miura applied for the entrance examination of an art college in Nihon University. He submitted Futanabi for examination and was granted admission. This project was later nominated for the Best New Author work in Weekly Shounen Magazine. Another Miura manga titled Noa was published in Weekly Shounen Magazine the very same year. Due to a disagreement with one of the editors, the manga was stalled and eventually dropped altogether. This is approximately when Miura's career hit a slump.

In 1988, Miura bounced back with a 48-page manga known as Berserk Prototype, as an introduction to the current Berserk fantasy world. It went on to win Miura a prize from the Comi Manga School. In 1989, after receiving a doctorate degree, Kentarou started a project titled Ourou (King of Wolves), based on a script by Buronson, the writer of Hokuto no Ken. It was published in Monthly Animal House magazine in issues 5 and 7 of that year.

In 1990, a sequel was made to Ourou titled Ourouden that was published as a prequel to the original in Young Animal magazine. In the same year, the 6th issue of Monthly Animal House, the first volume of the solo project Berserk was released with a relatively limited success. Miura again collaborated with Buronson on a manga titled Japan that was published in Young Animal from the 1st issue to the 8th of 1992, and was later released as a stand-alone tankoubon. Miura's fame grew after Berserk was serialized in Young Animal in 1992 with the release of ""The Golden Age"" story arc, and the huge success of his masterpiece made of him one of the most prominent contemporary mangaka. At this time, Miura dedicated himself solely to work on Berserk. He indicated, however, that he intended to publish more manga in the future.

In 1997, Miura supervised the production of 25 anime episodes of Berserk that aired in the same year on NTV. Various art books and supplemental materials by Miura based on Berserk were also released. In 1999, Miura made minor contributions to the Dreamcast video game Sword of the Berserk: Guts' Rage. 2004 saw the release of yet another video game adaptation titled Berserk Millennium Falcon Arc: Chapter of the Record of the Holy Demon War.

The Berserk manga has also spawned a whole host of merchandise, both official and fan-made, ranging from statues and action figures to key rings, video games, and a trading card game. In 2002, Kentarou Miura received second place in the Osamu Tezuka Culture Award of Excellence for Berserk.

Miura provided the designs for the Vocaloid Kamui Gakupo, whose voice is taken from the Japanese singer and actor, Gackt.

Kentarou Miura died on May 6, 2021 due to an acute aortic dissection at 54 years old.",https://cdn.myanimelist.net/images/voiceactors/3/63827.jpg
21517,Sora Amamiya,1993-08-28 00:00:00+00:00,20372,"Blood type: AB
Birth place: Tokyo, Japan

Sora Amamiya was introduced to the seiyuu profession in high school by a friend who enjoyed anime. She decided to become a seiyuu after seeing the voice roles of Miyuki Sawashiro.

In 2011, Amamiya passed the 2nd Music Ray'n Super Seiyuu Audition and joined the talent agency. She debuted the following year voicing minor characters in Aikatsu!, Shinsekai yori, and Tonari no Kaibutsu-kun. Amamiya won her first lead role in Isshuukan Friends. in 2014. Later that year, she joined the unit TrySail with seiyuu Momo Asakura and Shiina Natsukawa, both of whom passed the same Music Ray'n audition.

Amamiya was named a winner of the Best New Actress award in the 9th Seiyuu Awards. She is nicknamed Ten-chan, as her given name can also be read as ""Ten.""

Blog: http://ameblo.jp/amamiyasorablog/
Youtube: https://www.youtube.com/channel/UCc4xpujLxnUBSI1XX-SdldQ
Twitter: Amamiyastaff",https://cdn.myanimelist.net/images/voiceactors/2/64457.jpg
